text, domain, over_all_sentiment
ดีแต่โฆษณา มาพักจริงห่วยมากครับ ไปกาพักที่อื่นดีกว่า โฆษณา ทุกอย่างเกินจริงครับ โกหกทั้งนั้น เสียดายเงิน, Hotel, neg
ไม่คุ้มค่ากับการเข้าพักผ่อน น้ำในห้องนอนไหลเบามาก... ไม่สะอาด.. ไม่กลับไปอีกแน่นอน, Hotel, neg
อาหารเช้าน้อยไปหน่อย, Hotel, neg
ไม่ค่อยประทับใจ ราคาแพงไม่มีอาการเช้า, Hotel, neg
ห้องน้ำ ท่อน้ำตัน สกปรกและมีกลิ่นมาก ไม่เหมาะสมกับราคาที่จ่ายไป 7-8พันบาท ค่ะ, Hotel, neg
ทางเข้าลึก และแคบ ส่วนที่พักแทบจะไม่มีอะไรน่าสนใจ นอกจากน้องอาปาก้า, Hotel, neg
บรรยากาศโรงแรมโอเค อาหารเช้าน้อยไปหน่อย ติดใจเรื่องผ้าเช็ดตัว มันดูเก่ามาก สีคล้ำดูไม่สะอาดเลย ไม่มั่นใจที่จะใช้เลย, Hotel, neg
ไม่สมราคาค่ะ, Hotel, neg
เคยมาตอนเปิด รร ใหม่ๆ มาตรฐานดีกว่านี้มาก กลับไปพักรอบนี้คือ เหมือนห้องไม่ได้ทำความสะอาด ห้องน้ำเหม็น ชุดผ้าปู คือ ดูไม่ได้ซัก ไม่คุ้มค่ากับเงินที่จ่ายเลยค่ะ, Hotel, neg
รู้สึกไม่คุ้มค่าห้อง, Hotel, neg
โรงแรมเก่า ไม่เหมาะสมกับราคา, Hotel, neg
ห้องพักไม่สะอาด สปาไม่พร้อมไม่ควรมี, Hotel, neg
ราคากับสภาพห้องที่ได้ไมาเหมาะสม ปกติจะเลือกพัก d2 ตลอดซึกไปพักมาหลายที่แต่ที่นี้แย่ที่สุด รู้สึกผิดหวังกับสภาพห้องมากๆ, Hotel, neg
นกเยอะ ตอนทานอาหารมีนกมากวน, Hotel, neg
อาหารเช้าตัวเลือกน้อย ห้องฟิตเนสไม่เปิด ห้องน้ำหน้าฟิตเนส สกปรก โรงแรมต้องเข้าไปลึกมาก, Hotel, neg
ห้องพักธรรมดาทั่วไป อาหารเช้าแย่มาก ตัวเลือกน้อยมากๆ ไม่เหมาะสมราคาห้อง ผ้าขนหนูเก่ามาก สิ่งเดียวที่โอเคคือเตียงนอนนุ่ม นอนสบาย, Hotel, neg
ที่นอนไม่ตรงปกค่ะ ในรูปเตียงดูดี แต่ของจิงคือไก่กามาก แย่ๆ, Hotel, neg
ที่นอนแข็งมาก ไม่ตรงปก ห้องแคบ ผ้าห่มบางมาก ห้องน้ำ เสียงท่อน้ำด้านบนดัง, Hotel, neg
ทุกอย่างดีหมด ยกเว้นตอนเช้าแปดโมง แม่บ้านเข็นรถทำความสะอาดไล่ทำห้องที่เช็คเอ้าท์ก่อนเสียงดังมาก แทนจะจอดไว้ห้องใดห้องนึงแล้วเดินหยิบเอา นี่อะไรเข็นแม่งทุกห้องชั้ลต้องสะดุ้งตื่น โครตรำคาญ, Hotel, neg
ยังกะหอพักนักศึกษา เตียงก็เล็ก ไม่นุ่ม ห้องเล็กๆ คานก็ต่ำ อยู่แล้วอึดอัดค่ะ, Hotel, neg
คนในโรงแรมเสียงดังตลอดเวลาเลยค่ะ จะหลับก็หลับไม่เต็มอิ่ม, Hotel, neg
พักกับแฟน ได้ห้องเตียงคู่ เลยดันเตียงมาติดกัน ใต้เตียงมีทั้งฝุ่นเป็นใยๆ เส้นผมเป็นกอง ขยะ กระดาษต่างๆ, Hotel, neg
เพดานสกปรกมาก เสียงดัง เสียงเดินจากห้องด้านบนหนวกหูมาก, Hotel, neg
ห้องมีฝุ่นเยอะมาก เหม็นอับ ไม่มีความสะอาด ใต้เตียงมีกล่องอะไรไม่รู้ ไม่ประทับใจ, Hotel, neg
ประตูห้องเปิดไม่ได้ 3 รอบ ต้องลงไปบอกข้างล่างเดินขึ้นเดินลง ไวไฟ เชื่อมต่อไม่ได้แย่, Hotel, neg
ชั้น7 ตรงกับห้อง 604 เสียงดังมาก นอนไม่หลับ ไม่ได้ ความเป็นส่วนตัว เลย, Hotel, neg
เสียงข้างห้อง รบกวนมาก นอนไม่ได้ เลย พนักงาน บริการ ไม่โอเค, Hotel, neg
มีขายอาหารแค่ถึงเที่ยงตอนกลางคืนไม่มีไม่เหมาะที่จะได้4ดาวเลย, Hotel, neg
ห้องพักดี สะอาด แต่ไม่ประทับใจกับพนักงานหน้าเคาเตอร์เลย ดึงหน้าดึงเสียงใส่ ไม่มีใจบริการเลย แย่! ไปพักที่นี่หลายครั้งก็เหมือนเดิมทุกครั้ง เจอแบบนี้ต่อให้ห้องดี แต่ก็ไม่คิดบอกต่อใครนะ, Hotel, neg
ห้องฝุ่นเยอะมาก​ โดยเฉพาะ​ใต้เตียง​, Hotel, neg
ขอผ้าห่มเพิ่มคิดวันละ200 บาท ย้ำนะคะ วันละ! เราพักหลายคืนก็เสียX เข้าไป, Hotel, neg
เก็บค่ามัดจำกุญแจแพงเกินไป, Hotel, neg
พักต่อพนักงานต้อนรับไม่เคยคิดจะถามลูกค้าเลยว่าทำความสะอาดห้องหรือไม่ แย่ลงจากช่วงก่อนมาก, Hotel, neg
มาพักที่นี่ติดต่อกันหลายครั้ง ห้องพักสะอาด ใกล้จุดนัดพบ สิ่งอำนวยความสะดวกครบ แต่พนักงานเช็คอินช้า เช็คเอ้าก็ล่าช้าให้นั่งรอ สรุปสุดท้ายห้องอื่นมาทีหลังแซงคิวได้ แสดงถึงการบริหารจัดการที่ไม่ดี ละเลยไม่ดูลำดับลูกค้าก่อนหลัง ควรปรับปรุง, Hotel, neg
หมอนน้อยไปหน่อยค่ะ ไม่มีหมอนสำรองให้ด้วย เสียงลากเก้าอี้จากชั้นบน เสียงแม่บ้านข้างห้องทำความสะอาดดังมากค่ะ ไวไฟกากมากค่ะ ต้องใช้เน็ตโทรสัพตัวเอง, Hotel, neg
ลืมที่ชาร์ท แต่ไม่ได้คืน ไม่โทษทั้งหมด แต่โทษคนเอาไป ซึ่งจริงๆ ก็ส่งผลเสียต่อโรงแรม, Hotel, neg
เสียงรบกวนเป็นปัญหาสำหรับการพักผ่อนมากค่ะ จะเสียงเดิน พูดคุยกัน เสียงเลื่อนเก้าอี้ ห้องอื่น ชั้นอื่น ได้ยินชัดมากดังมาก เอะอะไปหมด หลับไม่ได้เลย อย่างอื่นโดยรวมก็ดีค่ะ, Hotel, neg
ห้องก็ถือว่าใช้ได้ แต่ห้องเล็ก และอยู่ในซอยลึกหน่อย อาหารเช้าส่วนมากเป็นอาหารไทย, Hotel, neg
รร.ดีค่ะ แอร์เย็นดี สะอาด แต่ไม่เก็บเสียง, Hotel, neg
ห้องไม่เก็บเสียงเลย ห้องชั้นบน ห้องข้างๆอาบน้ำ เลื่อนเก้าอี้ เดิน คือได้ยินเสียงหมด , Hotel, neg
ห้องเก่า ผ้าปูสกปรก อัพ มียุง เดินทางไม่สะดวกเลยตอนมาจากสนามบิน ขอกลับไปสนามบินมีรถตู้บริการ เลยโอเคขึ้นมาหน่อย, Hotel, neg
ประตูไม่เก็บเสียงเลย ตรงระเบียงก็ประตูพังเสียงเข้ามาทั้งคืน ห้องน้ำเหม็นมาก, Hotel, neg
ห้องสวย แต่ไม่ค่อยสะอาด ทำเลที่ตั้ง ซับซ้อนที่เช็คอินก็อยู่คนละตึกห้องไม่เก็บเสียง มีกลิ่นก็สมราคาแหละ
แย่มาก เปิดแอร์ 20องศา ไม่เย็นเลยนอนเหงื่อออกไม่หลับ, Hotel, neg
คือผิดหวังมากทั้งเรื่องห้องพักเครื่องอำนวยความสะดวกไดร์เป๋าผมใช้ไม่ได้แปรงสีฟันแปรงทีขนแปรงหลุดติดซี่ฟันเลยคงไม่มาพักที่นี้อีกแล้วค่ะ, Hotel, neg
ถนนสลับซับซ้อน พนักงานต้อนรับหน้าไม่ค่อยรับแขก ถ้าใครจะไปพัก แนะนำว่าหาที่ใหม่ดีกว่าค่ะ, Hotel, neg
ทางเข้าที่พัก รร.ไม่สะดวกเลย ไม่มีป้าย บอกทาง ที่พักสกปรก ห้องพักเสียงดัง ห้องพัก ไม่ตรง กับที่จองไว้ , Hotel, neg
ไกลไปหน่อย หากินยาก เดินไกล การบริการไม่ค่อยดี คงเพราะเราลูกค้าคนไทย เขาไม่ค่อยสนใจ ห้องไม่สะอาด เก็บกวาดไม่หมด มีกลิ่น เสียงรบกวนเข้าในห้อง ห้องน้ำแคบ ติดประตู ข้อดีคือมีสิ่งอำนวยความสะดวกครบ และมีสระว่ายน้ำ, Hotel, neg
D พอใช้ เสียงดังไปนิดหน่อย, Hotel, neg
ทำเลค่อนข้างลึกและซอยแคบมาก ห้องไม่เก็บเสียง พักหลายวัน พนักงานไม่ทำความสะอาดห้องให้, Hotel, neg
ได้พักอีกตีกไม่สะอาดค่ะ, Hotel, neg
ใกล้สนามบินดอนเมือง รีโมทแอร์เสียปรับอุณหภูมิไม่ได้, Hotel, neg
กดยกเลิกแต่ไม่ได้เงินคืน, Hotel, neg
ห้องน้ำเหม็นมากกก บอกให้ทำความสะอาดก็ไม่ทำให้ จนได้ทำความสะอาดเอง แต่บริการดีมากค่ะเป็นกันเอง, Hotel, neg
ห้องโอเคร อาหารอร่อย แต่ประตูห้องเสียงดัง ไม่เก็บเสียง, Hotel, neg
ห่างไกลร้านสะดวกซื้อมาก แอร์เสียงดังมาก, Hotel, neg
สะดวกต่อการเดินทาง มีรถรับ-ส่งสนามบิน ทุกๆๆๆ1ชม., Hotel, neg
ไม่ตรงปกเลยค่ะผิดก้บที่คาดหวังมากค่ะ, Hotel, neg
ห้องเหม็น เสียงดัง, Hotel, neg
ห้องค่อนข้างเก่านิดหนึ่ง แต่ดีที่ใกล้สนามบิน, Hotel, neg
ต้องปรับปรุง, Hotel, neg
ห้องพักสกปรกมากมีฝุ่นทั้งในและในเฟอร์นิเจอร์ทั้งหมด รวมทั้งในตู้เย็น และมีขนของผู้ชายอยู่บนเตียง หลังจากที่ฉันร้องเรียนกับแผนกต้อนรับ พวกเขาก็ขอโทษและรับรองกับฉันว่าพวกเขาจะทำความสะอาดให้หมดทันที, Hotel, neg
ห้องพักแย่มาก กลางคืนยุงเยอะมากจนแทบจะนอนไม่หลับเท่ากับห้องคืนละ 30 หยวนในเมืองชั้น 2 ของจีน, Hotel, neg
พนักงานตอนกลางคืนหยาบคายมากและไม่มีใจบริการเลย, Hotel, neg
ห้องแย่มาก อยู่ไม่ได้ อากาศอับมาก บรรยากาศน่ากลัวสุดๆ ที่แย่ที่สุดคืออากาศและความน่ากลัว , Hotel, neg
ห้องน้ำไม่สะอาด มีคราบสกปรกดำ ห้องนอนที่นอนไม่ดึง, Hotel, neg
ไม่สะอาด เสียงดัง อยู่ในตัวเมืองก็จริงค่ะแต่ว่าถ้ามีรถมาไปพักที่อื่นดีกว่า, Hotel, neg
ทำเลดี แต่บริการไม่ดี, Hotel, neg
ราคาสูงไป เมื่อเทียบกับการบริการ อาหารเช้ายอดแย่ สระว่ายน้ำเล็กมาก, Hotel, neg
โรงแรมไฟออกแนวมืดๆ สภาพค่อนข้างเก่า, Hotel, neg
ห้องใหญ่ ไม่ค่อยสะอาด, Hotel, neg
ราคาแพงเกินจริงไปมาก บนห้องตกแต่งด้วยวัสดุถูกไม่สมราคา การบริการแย่สุดไม่มีแม้คนต้อนรับพนักงานช่วยยกกระเป๋าก็ไม่มี , Hotel, neg
พนักงานบริการไม่ค่อยดี ห้องพักธรรมดา ในรูปสวยกว่า ได้ทำเลดีแค่ใกล้ห้าง ซึ่งไม่จำเป็น, Hotel, neg
ทำเลก็งั้นๆ ห้องพักก็ไม่แย่ไม่ดี, Hotel, neg
ห้องสกปรก มีกลิ่นเหม็นอับ แอร์เสียงดังมาก, Hotel, neg
เครื่องปรับอากาศไม่เย็น หรือเป็นเพราะห้องหันรับแสงช่วงบ่ายพอดี แอร์เลยไม่ค่อยเย็น เตียงนอนไม่นุ่ม นอนไม่สบายตัว อาหารเช้ามีให้เลือกน้อยมากไม่ค่อยดี , Hotel, neg
ห้องพักเก่า หมอนผ้าปู ผ้าเช็ดตัวเก่ามากหมอนเหม็นอับมากด้วย เลือกไปเลือมาได้โรงแรมอะไรก็ไม่รู้ ห้องแอร์ไม่เย็น, Hotel, neg
ราคาแพงเทียบกับคุณภาพ แถวกน้า รร ไม่มี ร้านสดวกซื้อ ไปถึง รร ดึก ปรากฎว่าไม่มีแปรงกะยาสีฟันให้, Hotel, neg
แอร์ไม่เย็นค่ะ แอร์เก่า, Hotel, neg
ทำเลหาง่าย อาหารเช้าเยอะ แต่ห้องอาหารสกปรก พนักงานไม่ค่อยเก็บจานที่แขกใช้แล้ว เวลามีทัวร์จีนเสียงดังมาก, Hotel, neg
ไม่ประทับใจในการเข้าพัก พนักงานบริการโอเค , Hotel, neg
เจอขา(แมลงสาบ?)ในอาหาร พอค่ะ นึกว่าเลือกที่ดูดีแล้ว รีวิวก็เหมือนจะดี, Hotel, neg
เจอเส้นผมและรอยเท้าใต้ผ้าห่มบนที่นอน สงสัยแม่บ้านไม่ได้เปลี่ยนผ้าปูใหม่ให้, Hotel, neg
ไม่แจ้งให้ทราบล่วงหน้า แย่มาก, Hotel, neg
ไม่ประทับใจ - ที่จอดรถน้อย - พนักงานผู้หญิงพูดจาไม่ดี - มาเช็คอิน 14.30 ยังต้องมารอห้องอีก - อาหารเช้าน้อย, Hotel, neg
โรงแรมไฟดับตั้งแต่สองทุ่มถึงแปดโมงเช้า, Hotel, neg
พนักงานไม่มีความเป็นมืออาชีพในการให้บริการให้ความช่วยเหลือลูกค้า, Hotel, neg
การแก้ปัญหาเฉพาะหน้าของพนักงาน, Hotel, neg
สิ่งอำนวยความสะดวกไม่ครบครัน, Hotel, neg
การบริการไม่ดี, Hotel, neg
ไม่ได้รับการตอบรับใดๆทั้งสิ้น เสียโอกาศ เสียเวลา รู้งี้ไปที่อื่นดีกว่า, Hotel, neg
ปิดทุกอย่างเลย วิวทะเลก็ไม่เห็น วิวดาดฟ้าก็ไม่เห็น, Hotel, neg
พอดีเจอประสบการณ์เข้าพักในครั้งแรกที่ไม่ดี เลยไม่คิดจะพักอีก, Hotel, neg
อาหารเช้าไม่อร่อย, Hotel, neg
โรงแรมดี เหมาะสำหรับเด็กเล็ก อาหารอร่อย, Hotel, neg
ห้องสะอาด ใหม่ ชอบยาสระผมกับครีมนวดมากค่ะ, Hotel, neg
ห้องสกปรก มีทรายบนที่นอน และเหม็นอับ ซักโครกกดไม่ค่อยลง ขี้ลอย ต้องกดหลายๆทีถึงจะหมด ท่อน้ำทิ้งก็ละบายช้ามาก , Hotel, neg
แพงเกินไปไม่สมกับราคา, Hotel, neg
ภาพกับของจริงต่างกันมาก บริเวณโรงแรมมีกลิ่นเหม็นคาว ไม่คุ้มค่าเงินที่จ่ายเลย, Hotel, neg
บริการแม่บ้านแย่มาก ห้องไม่สะอาด ห้องน้ำมีกลิ่นเหม็น, Hotel, neg
ห้องสกปรกมาก มีคราบเหลือง อาหารมีแต่ข้าวต้ม ต้องยืนรอ, Hotel, neg
ห้องน้ำ ระบายน้ำไม่ดี แทบจะสระผมไม่ได้มีน้ำขังคะ, Hotel, neg
โรงแรมด้านนอกดูเหมือนจะดี แต่ด้านในไม่สะอาด ห้องเสียงดังเวลาอีกห้องปิดประตู ไม่เก็บเสียง ไม่รู้ได้ 4 ดาวได้ไง ไม่สะอาด น้ำไม่แรง อาหารเช้าให้นอนทานไม่อิ่ม ให้อาหารอย่างเดียว และขนมปังบุฟเฟต์ ราคาห้องในอโกด้าแพงกว่าที่ซื้อที่โรงแรม, Hotel, neg
บริการไม่ค่อยดี ห้องเสียงดัง, Hotel, neg
ดูแล้วไม่ค่อยสะอาด เครื่องทำน้ำอุ่นในห้องก๋เหมือนใกล้เสีย, Hotel, neg
สระว่ายน้ำ แย่มาก ไม่สะอาดเอาสะเลย พื้นผิว บนสระว่ายน้ำ ลื่นมาก หลายคนเดินลื่นหัวเกือบฝาดพื้นกัน พนักงานบริการค่อนข้างดี., Hotel, neg
ผ้าห่มมีกลิ่น อาหารเช้าน้อยมาก ไม่คุ้ม ไม่เหมาะสมกับราคา, Hotel, neg
แอร์เสียงดัง ถามพนักงานบอกว่าให้ปิดพัดลมแอร์ แต่ปิดแล้วก็ยังเสียงดังก้องๆรบกวนตอนนอน เตียงแข็ง หนอมสูง ราคาไม่คุ้มกับที่พัก, Hotel, neg
แอร์สกปรกมากสไลเดอร์เสียตลอดสระว่ายน้ำ สกปรกมากสไลเดอร์เสียตลอดสระว่ายน้ำลงไหว้แล้วคันไม่สะอาด, Hotel, neg
ไม่เป็นไปตามคาด ไม่คุ้มราคา ห้องไม่ตรงปก, Hotel, neg
ห้อวพักเหม็นอับมาก แอร์ก็เหม็นอับมาก ไม่คุ้มค่ากับราคาที่จ่าย ห้องไม่ตรงตามรูป ผิดหวังมาก ไม่กลับไปพักอีกแน่นอน, Hotel, neg
ไม่โอเคหลายอย่างมากๆ ชัดเจนสุดคือผ้าเช็ดหน้า ผ้าเช็ดตัวสู้ชีวิตมาก เก่ามาก ห้องราคา 2500ได้ผ้าแบบนี้หรอ??? , Hotel, neg
3 พันบาท/คืน กับห้องที่ไม่มีแม้แต่แชมพูขวดเล็กให้ ทุเรศมาก พนักงานทำงานช้ามาก, Hotel, neg
ไม่ประทับใจบริการอย่างมาก , Hotel, neg
ห้องน้ำมีกลิ่นเหม็น ทางเดินหน้าห้องไม่สะอาด, Hotel, neg
ไม่สะอาด เดินไกลมาก, Hotel, neg
ใครอย่าหลงไปนะ วิลล่าที่พัก สกปรกและเหม็นมาก เลยพักแค่คืนเดียว, Hotel, neg
ไม่ประทับใจเลย และไม่คิดจะกลับไปอีกแล้ว, Hotel, neg
ไม่คุ้มค่า ห้องเล็ก เก่า ครีมนวดไม่มี, Hotel, neg
ที่พักไม่สะอาดผ้าห่มมีกลิ่นเหมือนผ้าซักไม่แห้งเหม็นอับมาก ที่นั่งด้านนอกมีแต่ขี้นก ขี้จิ้งจก นั่งไม่ได้เลย, Hotel, neg
ห้องพักไม่เก็บเสียง ได้ยินเสียงห้องข้างๆทั้งคืน, Hotel, neg
ห้องพักค่อนข้างมีเสียงดังได้ยินเสียงข้างห้อง และเสียงแม่บ้านทำความสะอาดในตอนเช้า มันไม่เหมาะแก่การพักผ่อน, Hotel, neg
มาตรฐานการเก็บรักษาของที่ลูกค้าลืมแย่มาก ลืมของไม่ได้คืน, Hotel, neg
โรงแรมดูแลไม่ดีมาก พนง.ไม่สนใจลูกค้า ที่จอดรถน้อยมากๆไม่เพียงพอ ต้องแย่งกันจอด ราคาไม่เหมาะสมคือห้องเล็ก, Hotel, neg
ถังขยะไม่มีในห้อง มีแต่ในห้องน้ำ ยาสีฟัน/แปรงสีฟัน เซ็ตเล็กก็ได้ แต่ที่ รร.นี้ไม่มี (อุปกรณ์ต่างๆ หมวกคลุมผม ฯลฯ ควรมีไว้อย่างละสอง ห้องไม่สะอาด ยิ่งที่ระเบียงสกปรกมาก ควรมี ชา กาแฟ กาน้ำร้อนในห้อง, Hotel, neg
คือแย่มากเพราะจองล่วงหน้าหลายวัน พนักงานบอกแค่ห้องเตียงใหญ่เต็ม ซึ่งควรเก็บห้องไว้สำหรับคนที่จองล่วงหน้า แย่มาก, Hotel, neg
เปิดห้องมาเหม็นอับมาก ย้ำว่ามาก ไม่ใช่โรงแรมใหม่เป็นโรงแรมเก่าที่รีโนเวทเฉยๆค่ะ ห้องไม่เก็บเสียงใดๆทั้งสิ้น , Hotel, neg
โรงแรม ไม่มีการแก้ไขปัญหาที่ดี ไม่พร้อมใช้งาน เป็นโรงแรมใหม่, Hotel, neg
ห้องสกปรก เปิดเข้าไปก็เจอแต่แมลงสาบ4 5 ตัว แถมทอน้ำในห้องอาบน้ำก็ล้นท้อเดนน้ำเหม็นมาก ทีวีก็ให้ไม่ได้ แอร์น้ำก็หยดทั้งคืน, Hotel, neg
เสียงดัง ห้องไม่เก็บเสียง ห้องแคบมากๆ, Hotel, neg
ห้องเล็กมากถึงมากที่สุด ที่จอดรถน้อยมากกกกกก ไม่สะดวกเลย, Hotel, neg
สภาพห้องมีตำหนิเยอะมาก แต่พอรับได้ ที่หนักคือ แอร์ ไม่มีความเย็น, Hotel, neg
ห้องเหม็นบุหรี่มากนอนไม่ได้ต้องออกจากโรงแรมเพื่อหาที่พักใหม่ พนักงาน รปภ.พูดจาแย่ไม่เต็มใจให้บริการ, Hotel, neg
เสียงดังจากภายนอก, Hotel, neg
รีวิวดีแต่ไปจริงแล้วแย่มาก ห้องเหม็น มีรอยรองเท้าในห้องห้อง ทางเดินทาสีอยู่เลย คนงานเสียงดัง, Hotel, neg
ห้องไม่เก็บเสียงเลย นอนไม่หลับทั้งคืนเลย, Hotel, neg
เนื่องจากห้องมีขนาดเล็ก อีกทั้งตอนเปิด แอร์มีนำ้หยดลงมาที่พื้นเป็นจำนวนมาก ตื่นขึ้นมามีนำ้ท่วม แอร์ลดความเย็นไม่ได้ เหมือนห้องยังไม่พร้อมให้บริการ, Hotel, neg
พนักงานที่ฟร้อนหน้าตาไม่ยิ้มแย้ม ไม่มีพนักงานอยู่ที่ตึกตอนเวลากลางคืน เราเจอคนสูบบุหรี่ในโรงแรมตรงทางเดินหน้าห้องเราเลย จองไปสองห้องอีกห้องหนึ่งไม่มีสบู่ไม่มียาสระผมไม่มีอะไรให้เลยแต่อีกห้องหนึ่งมีครบ แอร์ไม่เย็น ข้างหน้าโรงแรมมีการก่อสร้างเลยรู้สึกว่าทัศนียภาพไม่ค่อยโอเค, Hotel, neg
ห้องพักเเคบมากๆ, Hotel, neg
แย่มากๆไม่มีการบริหารจัดการที่ดีเลยเช็คอินบ่ายสองโมงแต่ยังไม่มีห้องจนถึงสี่ทุมก็ยังไม่มีห้องเป็นอะไรที่ห่วยแตกที่สุดเท่าที่เคยเจอมาผิดหวังมากไม่น่าจะให้บริการได้อีกต่อไปแย่สุดๆ, Hotel, neg
พนักงาน ต้อนรับหน้าเคาร์เตอร์ มองแบบเหยีด ๆ และ ไม่สนใจ ถามอะไร ไม่แนะนำลูกค้า จองและจ่ายเงินแล้ว บอกไม่มีห้อง แล้วมีเด็กเล็ก ขอ เตียงใหม่ บอกไม่มี, Hotel, neg
ห้องค่อนข้างแคบเมื่อเทียบกับราคา ทัศนียภาพวิวตึกข้างๆ แม่บ้านทำความสะอาดที นึกว่ามีการซ่อมแซมอาคาร อาหารมีหมูปิ้งอร่อย สระว่ายน้ำปิด ห้องน้ำฝักบัวติดผนังขยับไม่ได้, Hotel, neg
เข้าไปหลังจากจอง10นาที โดนพนักงานด่าใส่อีกว่าอย่ามาจองแล้วเข้ามาเลยแค่จะเอากระเป๋าไปเก็บก่อน , Hotel, neg
ห้องเล็ก ไม่ค่อยสะอาด, Hotel, neg
เราจองล่วงหน้า.จ่ายเงินเต็มจำนวน. ปกติเช็คอิน 14.00น. แต่นี่ไปเกือบ6โมงเย็นแล้ว. แต่ต้องนั่งรอ ห้องทำความสะอาด.การจัดการห่วยแตก.ห้องสกปรกมาก., Hotel, neg
ห้องเล็กมากไม่สามารถเดินสวนกันได้, Hotel, neg
ห้องพักสกปรกมากๆค่ะ ฝุ่นแน่นมาก ภูมิแพ้ขึ้นหนักมากเลยทีเดียว แย่สุดๆ, Hotel, neg
รีโมททีวีกดไม่ได้ พนง.เคาเตอร์เช็คอินช้ามาก และมี พนง น้อย ไม่มีรหัส wifi ให้เพราะเป็นการเข้าพักราคาถูก ห้องมือ ไฟสว่างไม่เพียงพอ ห้องน้ำและห้องอาบน้ำ แคบมาก, Hotel, neg
มีกลิ่นบุหรี่ในท่อแอร์ เหม็นตลอดเวลา อาหารมีให้เลือกน้อย ออมเล็ททำเหมือนไข่เจียว :(, Hotel, neg
